name_other,cap_unit,cap_includes_presale,token_type,total_number_of_tokens,token_standard,additional_token_emissions,Crowdsale is auction,Has a presale,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,address,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,ethereum_contract_address,ico_start_date,ico_end_date_actual,Total amount raised (USDm),BTC_ret_ico_period,Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,Team tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",presale_transparent,industry.1
EncryptoTel [WAVES],USD,0,Utility-token,77663987.0,"Waves,ERC-20",0,0,1,1,15.0,1,1,0,0,1,1.0,0,0,0,0.0,0.0,1,0,No,No,1,1,0,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,Communications,0xe0c72452740414d861606a44ccd5ea7f96488278,4/24/2017,5/11/2017,5.0,0,1,1,USD,USD,0.0,17.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,18,38.0,0,Communications
Enigma,USD,1,Utility-token,150000000.0,ERC-20,0,0,1,0,14.0,1,1,1,0,0,0.0,1,1,0,1.0,0.0,1,0,Flybridge,Digital Currency Group; Pantera Capital; Fenbushi,0,0,1,high,joint-stock corporation,United States,unknown,0,0,0,0,0,0,0,0,0,0,0,Marketplaces,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,9/11/2017,9/12/2017,45.0,0,1,0,USD,USD,1.0,0.0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,2,5.0,1,Marketplaces
Enjin Coin,tokens,1,Cryptocurrency,1250000000.0,ERC-20,0,0,1,1,34.0,0,0,8,0,0,1.0,1,1,1,0.0,0.0,0,1,No,No,0,1,0,high,limited liability partnership,Singapore,"Eniin Pte. Ltd., 16 RAFFLES QUAY #33-03 HONG LEONG BUILDING SINGAPORE 048581",0,0,0,0,0,0,1,1,0,0,0,Video Games & VR,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,10/3/2017,10/31/2017,35.0,0,1,0,tokens,tokens,0.0,50.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,29,29.0,1,Video Games & VR
Envion,tokens,1,Security,127425494.0,ERC-20,0,0,0,1,61.0,1,0,2,0,1,0.0,0,1,1,0.0,0.0,1,0,Quadrat Capital; Catagonia Limited,No,1,1,1,neutral,joint-stock corporation,Switzerland,"envion AG, Zugerstrasse 72, 6340 Baar",0,0,0,0,0,1,1,0,0,0,0,Cryptocurrency Mining,0xd780ae2bf04cd96e577d3d014762f831d97129d0,12/15/2017,1/14/2018,100.0,0,1,0,tokens,tokens,1.0,30.0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,31,31.0,1,Cryptocurrency Mining
Ethbits,tokens,1,Security,5000000.0,ERC-20,0,0,0,1,10.0,0,0,1,0,0,1.0,0,0,0,0.0,0.0,1,0,No,No,0,0,0,low,joint-stock corporation,United Kingdom,"ETHBITS LIMITED, 27 Old Gloucester Street, London, United Kingdom, WC1N 3AX ",0,0,0,0,0,0,1,0,0,0,0,Trading & Exchanges,0x1b9743f556d65e757c4c650b4555baf354cb8bd3,4/15/2017,5/13/2017,1.0,0,1,1,tokens,tokens,1.0,23.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,29,29.0,1,Trading & Exchanges
Ethereum Movie Venture,tokens,1,Security,6666666.0,ERC-20,0,0,0,1,0.0,0,0,3,0,0,0.0,0,0,0,0.0,0.0,0,1,No,No,0,0,0,unknown,other,Switzerland,"aKenEvilThing, Hofacker 89, 3664 Burgistein",0,0,0,0,0,0,1,0,0,1,0,Events & Entertainment,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,3/20/2017,5/15/2017,3.0,1,1,0,tokens,tokens,1.0,99.0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,57,28.0,1,Events & Entertainment
Etherparty,tokens,0,Utility-token,1000000000.0,ERC-20,0,0,1,1,26.0,0,0,2,0,1,1.0,0,0,0,0.0,0.0,0,1,No,No,0,0,1,neutral,joint-stock corporation,United States,unknown,0,0,0,0,1,1,0,0,0,0,0,Blockchain Infrastructure,0xea38eaa3c86c8f9b751533ba2e562deb9acded40,10/1/2017,10/29/2017,34.0,0,1,0,tokens,tokens,0.0,58.0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,29,29.0,1,Blockchain Infrastructure
ETHLend,ETH,1,Utility-token,1300000000.0,ERC-20,0,0,1,1,40.0,1,1,0,0,0,1.0,0,1,0,0.0,0.0,0,1,No,No,0,0,0,high,joint-stock corporation,Estonia,"Tartu mnt 80, Kesklinna Linnaosa, Tallin, Harju Maakond, 10112",0,0,0,0,0,1,1,1,0,0,0,Finance,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,11/25/2017,12/27/2017,29.0,1,1,0,ETH,ETH,0.0,9.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,33,33.0,1,Finance
Everex,USD,1,Utility-token,25000000.0,ERC-20,0,0,1,1,27.0,0,0,1,0,1,1.0,0,1,0,0.0,0.0,0,1,No,No,0,1,1,high,joint-stock corporation,Singapore,"EVX Holdings, Pte. Ltd, 80 Robinson Rd, 08-01 Singapore 068898",0,1,0,0,0,1,1,1,0,0,0,Finance,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,7/24/2017,8/31/2017,26.0,1,1,0,USD,USD,2.0,28.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,39,39.0,1,Finance
FidentiaX,tokens,1,Utility-token,130000000.0,ERC-20,0,1,0,1,26.0,0,0,0,0,1,1.0,0,0,0,0.0,0.0,1,0,No,No,0,1,1,neutral,joint-stock corporation,Marshall Islands,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Islands, MH 96960",0,0,0,0,0,1,1,0,0,0,0,Insurance,0x52a7cb918c11a16958be40cba7e31e32a499a465,11/6/2017,12/6/2017,2.0,1,1,0,tokens,tokens,0.0,13.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,31,31.0,1,Insurance
