vc_support_blockchain_specialist,vc_support_general,Postal address known,total_number_of_tokens,token_is_new_blockchain,Total amount raised (USDm),Financial advisor disclosed,KYC/AML procedure,name_other,Is currency or general purpose blockchain,advisor_quality,is_ethereum,Is cryptographic token,ico_start_date,industry,address,Product can be tried out,Legal entity is corporation,ico_end_date_actual,cap_unit,ico_successful,Use of proceeds mentioned,Celebrity endorsement,Years since foundation,US retail investors excluded,Whitepaper page count,US_qualified_only,Legal advisor disclosed,token_standard,Fundraiser has minimum ('soft cap'),cap_includes_presale,ico_end_date_planned,Is a utility token,Decentralised platform,Development road map available,has_specialist_vc,Unsold tokens 'burnt' or proportional allocation,hard_cap_unit,Team tokens locked up,"Length of crowdsale (calendar days, actual)",Funding milestones,Unknown or low quality advisors,portfolio_converted_into_fiat,Experienced team,Fundraiser has maximum ('hard cap'),soft_cap,token_is_cryptocurrency,Crowdsale max. discount (%),Issuer has customers for product,industry.1,"Length of crowdsale (calendar days, planned)",Smart contract code available,price_crowdsale,Team business background missing,legal_structure,soft_cap_unit,Team member with business background,Has VC backing,switzerland,Investors have governance rights,issued_on_other_platf,High quality advisory team,Use of proceeds disclosed in detail,Legal form and jurisdiction known,additional_token_emissions,Project code available,Independent custodian for ICO funds,Has a presale,Qualified investors only,Team experience missing,Business model available,Token supply is fixed,Legal entity is foundation,token_type,presale_transparent,Legal entity is LLC,Is a security,has_generalist_vc,Simple agreement for future tokens (SAFT),Product or prototype developed,Crowdsale is auction,air_drop_after_ICO ,BTC_ret_ico_period,Registered in offshore financial center,Unsold tokens kept by issuer,Investors from other (non-US) jurisdictions excluded,registration_country,Token share producers/miners (ex ante),Token share team (ex ante),ethereum_contract_address
Huiyin Blockchain Venture; Pantera capital; Digital Currency Group; Digital Finance Group,Foundation Capital; Founders Fund; Propel Venture Partners; Danhua Capital,0,1500000000.0,0,36.04218673706055,0,0,Basic Attention Token,0,high,1,1,2017-05-31,Commerce & Advertising,unknown,1,1,2017-05-31,ETH,1.0,1,0,1,0,37.0,0,0,ERC-20,1,1,2017-05-31,1,1,1,1,0,ETH,1,1,0,0,0,1,1,6307394.346,0,0.0,1,Commerce & Advertising,1.0,1.0,0.03604218736290932,0,joint-stock corporation,ETH,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,Utility-token,1,0,0,1,0,1,0,0,0.0,1,1,0,Cayman Islands,0.0,0.3333333333333333,0x0d8775f648430679a709e98d2b0cb6250d2887ef
No,No,1,6670017.0,0,5.244312763214111,0,1,Betmaster,0,unknown,1,1,2017-09-06,Gambling & Betting,"Reinvent Baltics OÜ Harju maakond, Tallinn, Kesklinna linnaosa, Roosikrantsi tn 2-K331, 10119 ",1,1,2017-12-31,tokens,1.0,0,0,2,0,40.0,0,1,ERC-20,0,1,2017-12-31,0,0,1,0,0,tokens,0,117,0,1,0,0,1,0.0,0,23.076923370361328,1,Gambling & Betting,117.0,0.0,0.7692307829856873,0,joint-stock corporation,tokens,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,Security,1,0,1,0,0,1,0,0,1.1247367858886719,0,1,0,Estonia,0.0,0.0,unknown
Tim Draper,No,1,1374729257.2286,0,11.808096885681152,0,0,Bitbounce,0,high,1,1,2017-07-26,Communications,"Turing Technology, Inc., 655 Oak Grove Ave #1, Menlo Park, CA 94025",1,1,2017-08-29,USD,1.0,0,0,3,0,36.0,0,0,ERC-20,1,0,2017-07-26,1,1,0,1,0,USD,0,35,0,0,0,0,1,10096667.03125,0,0.0,1,Communications,1.0,1.0,0.09879264235496521,0,joint-stock corporation,USD,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,Utility-token,1,0,0,0,0,1,0,1,0.5934830904006958,0,1,0,United States,0.0,0.5810871850851455,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be
No,No,0,2000000000.0,0,25.688491821289062,1,1,BitClave,1,high,1,1,2017-11-29,Search,unknown,1,1,2017-12-29,USD,1.0,1,0,1,1,51.0,0,1,ERC-20,0,1,2017-11-29,0,1,1,0,1,USD,1,31,0,0,0,1,1,0.0,1,0.0,0,Search,1.0,1.0,0.07094000279903412,0,joint-stock corporation,USD,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,Cryptocurrency,0,0,0,0,0,1,0,1,0.3934798538684845,0,0,1,Singapore,0.0,0.5,0x1234567461d3f8db7496581774bd869c83d51c93
No,No,1,660000000.0,0,22.5,1,1,BitDegree,0,neutral,1,1,2017-11-30,Online-learning,"Veiverių str. 139, Kaunas",1,1,2017-12-29,ETH,1.0,1,0,1,0,36.0,0,1,ERC-20,1,1,2017-12-29,1,1,1,0,0,ETH,1,30,0,0,0,1,1,376795.0,0,13.043478012084961,0,Online-learning,30.0,1.0,0.06684491783380508,0,joint-stock corporation,ETH,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,Utility-token,1,0,0,0,0,1,0,1,0.3591870367527008,0,1,0,Lithuania,0.0,0.49,0x1961b3331969ed52770751fc718ef530838b6dee
No,No,0,100000000.0,0,8.699999809265137,0,0,BitDice,0,unknown,1,1,2017-08-15,Gambling & Betting,unknown,1,1,2017-09-15,tokens,1.0,1,0,1,0,24.0,0,0,ERC-223,0,0,2017-09-15,0,0,1,0,0,tokens,0,32,0,1,0,0,1,2000000.0,0,13.043478012084961,1,Gambling & Betting,32.0,1.0,0.12525297701358795,1,joint-stock corporation,tokens,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,Security,1,0,1,0,0,1,1,0,-0.13947072625160217,0,1,0,Costa Rica,0.0,0.3,0x29d75277ac7f0335b2165d0895e8725cbf658d73
No,No,1,222295208.238453,0,0.0,0,1,Bitquence,0,unknown,1,1,2017-06-28,Finance,BITQUENCE PTE. LTD. 101 CECIL STREET #18-12 TONG ENG BUILDING SINGAPORE 069533,0,1,2017-07-16,ETH,1.0,0,0,0,1,24.0,0,0,ERC-20,1,1,2017-07-16,1,0,1,0,1,ETH,0,19,0,1,0,0,1,6294400.000000001,0,72.73999786376953,0,Finance,19.0,1.0,0.04051710292696953,0,joint-stock corporation,ETH,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,Utility-token,1,0,0,0,0,0,0,0,-0.2883412539958954,0,0,1,Singapore,0.0,0.3,0x5af2be193a6abca9c8817001f45744777db30756
No,No,1,60000000.0,0,30.0,0,1,Blackmoon Crypto,0,high,1,1,2017-09-12,Finance,"Harbour Place, 103 South Church Street, P.O. Box 10240, Grand Cayman, KY1-1002, Cayman Islands",0,1,2017-09-13,USD,1.0,0,0,3,1,10.0,0,0,ERC-20,0,1,2017-10-11,0,0,1,0,1,USD,1,2,0,0,0,0,1,0.0,0,9.090909004211426,1,Finance,30.0,1.0,1.0,0,joint-stock corporation,USD,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,Security,1,0,1,0,0,1,0,0,-0.06197105720639229,1,0,1,Cayman Islands,0.0,0.5,0xdf6ef343350780bf8c3410bf062e0c015b1dd671
No,No,0,88409932.9306097,0,8.428373336791992,0,1,Block Array,0,high,1,1,2017-12-22,Data Analytics,unknown,1,0,2018-01-08,USD,1.0,1,0,1,0,33.0,0,0,ERC-20,1,1,2018-01-14,1,1,1,0,0,USD,1,18,0,0,0,1,1,2504681.737,0,23.076923370361328,0,Data Analytics,24.0,1.0,0.20265106856822968,0,limited liability partnership,USD,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,Utility-token,0,1,0,0,0,1,0,0,0.09235609322786331,0,1,1,United States,0.0,0.4,0xa5f8fc0921880cb7342368bd128eb8050442b1a1
No,No,1,62500000.0,0,6.981328010559082,0,0,Blocktix,0,low,1,1,2017-07-07,Events & Entertainment,"Blocktix N.V., Nieuw-Eyckholt 292 E, 6419DJ Heerlen",0,1,2017-07-28,USD,1.0,0,0,1,1,9.0,0,0,ERC-20,1,1,2017-07-25,1,1,1,0,1,USD,1,22,1,1,0,0,1,2500000.0,0,16.66666603088379,0,Events & Entertainment,19.0,1.0,0.2514735162258148,0,joint-stock corporation,USD,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,0,0,0,0.10910509526729584,0,0,0,Netherlands,0.0,0.36,0xea1f346faf023f974eb5adaf088bbcdf02d761f4
