token_type,address,Years since foundation,Simple agreement for future tokens (SAFT),portfolio_converted_into_fiat,Crowdsale max. discount (%),US_qualified_only,token_standard,issued_on_other_platf,Use of proceeds mentioned,Investors from other (non-US) jurisdictions excluded,Is a security,Smart contract code available,ico_end_date_actual,price_crowdsale,Decentralised platform,Total amount raised (USDm),Issuer has customers for product,Experienced team,Team tokens locked up,"Length of crowdsale (calendar days, actual)",hard_cap_unit,Fundraiser has maximum ('hard cap'),ico_start_date,vc_support_blockchain_specialist,Legal advisor disclosed,Registered in offshore financial center,Funding milestones,Celebrity endorsement,Investors have governance rights,Qualified investors only,additional_token_emissions,Legal entity is foundation,"Length of crowdsale (calendar days, planned)",soft_cap_unit,switzerland,Unsold tokens kept by issuer,Is currency or general purpose blockchain,name_other,industry.1,Is a utility token,Has a presale,Crowdsale is auction,Financial advisor disclosed,Has VC backing,Postal address known,advisor_quality,registration_country,BTC_ret_ico_period,US retail investors excluded,legal_structure,Business model available,High quality advisory team,is_ethereum,air_drop_after_ICO ,Product can be tried out,Whitepaper page count,Independent custodian for ICO funds,ethereum_contract_address,cap_unit,token_is_cryptocurrency,Legal entity is corporation,Development road map available,vc_support_general,Team member with business background,has_generalist_vc,cap_includes_presale,token_is_new_blockchain,Legal entity is LLC,presale_transparent,total_number_of_tokens,Team business background missing,Product or prototype developed,Token share team (ex ante),ico_end_date_planned,soft_cap,Is cryptographic token,ico_successful,has_specialist_vc,Token share producers/miners (ex ante),Use of proceeds disclosed in detail,Legal form and jurisdiction known,Team experience missing,Project code available,industry,KYC/AML procedure,Fundraiser has minimum ('soft cap'),Unsold tokens 'burnt' or proportional allocation,Token supply is fixed,Unknown or low quality advisors
Utility-token,unknown,1,0,0,30.0,0,ERC-223,1,0,1,0,1.0,2018-01-12,0.08163265138864517,1,20.0,0,1,0,5,USD,1,2018-01-08,No,0,0,0,0,0,0,0,0,74.0,USD,0,0,0,aXpire,Finance,1,0,0,0,0,0,high,Singapore,-0.08165573328733444,0,unknown,0,1,1,0,0,24.0,0,0x9af2c6b1a28d3d6bc084bd267f70e90d49741d5b,USD,0,0,1,No,0,0,1,0,0,1,350000000.0,0,0,0.3,2018-03-22,3000000.0,1,1.0,0,0.0,0,0,0,1,Finance,1,1,1,1,0
Utility-token,"3rd floor, fairgate House, 78 Oxford Street, London, United Kingdom, WC1A 1HB",3,0,0,15.0,0,ERC-20,1,1,1,0,0.0,2017-11-17,0.6235577464103699,1,9.54368782043457,1,1,1,47,EUR,1,2017-10-02,No,0,0,0,0,0,0,0,0,47.0,EUR,0,0,0,B2BX,Trading & Exchanges,1,1,0,1,0,1,high,United Kingdom,0.5586667060852051,1,limited liability partnership,1,1,1,0,1,37.0,0,0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393,EUR,0,0,1,No,1,0,1,0,1,1,19822337.0,0,1,0.2,2017-11-17,5899500.0,1,1.0,0,0.0,0,1,0,0,Trading & Exchanges,0,1,1,1,0
Utility-token,"Bprotocol Stiftung, c/o Sielva Management SA, Gubelstrasse 11, 6300 Zug",4,0,0,0.0,0,ERC-20,1,1,0,0,0.0,2017-06-12,4.014900207519531,1,159.27911376953125,0,1,1,1,tokens,1,2017-06-12,Blockchain Capital; Draper Associates,0,0,0,0,0,0,0,1,15.0,tokens,1,0,0,Bancor,Trading & Exchanges,1,0,0,0,1,1,high,Switzerland,0.0,0,foundation,0,1,1,0,0,13.0,1,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,tokens,0,0,0,No,1,0,1,0,0,1,79300000.0,0,0,0.5,2017-06-26,0.0,1,1.0,1,0.0,0,1,0,1,Trading & Exchanges,0,0,1,1,0
Utility-token,"BKX, PO Box 309, Ugland House, Grand Cayman, KY1-1104",2,0,0,9.090909004211426,1,ERC-20,1,1,0,0,1.0,2017-12-26,1.4773309230804443,1,74.32357025146484,1,1,0,29,ETH,1,2017-11-28,No,0,1,0,0,0,0,0,0,31.0,ETH,0,1,0,Bankex,Finance,1,1,0,0,0,1,high,Cayman Islands,0.4703589677810669,1,unknown,1,1,1,0,1,36.0,0,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b,ETH,0,0,1,No,1,0,1,0,0,0,400000000.0,0,1,0.8,2017-12-28,15476800.0,1,1.0,0,0.0,0,0,0,0,Finance,1,1,0,1,0
Utility-token,unknown,1,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2017-05-31,0.03604218736290932,1,36.04218673706055,1,1,1,1,ETH,1,2017-05-31,Huiyin Blockchain Venture; Pantera capital; Digital Currency Group; Digital Finance Group,0,1,0,0,0,0,0,0,1.0,ETH,0,1,0,Basic Attention Token,Commerce & Advertising,1,0,0,0,1,0,high,Cayman Islands,0.0,0,joint-stock corporation,0,1,1,0,1,37.0,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,ETH,0,1,1,Foundation Capital; Founders Fund; Propel Venture Partners; Danhua Capital,1,1,1,0,0,1,1500000000.0,0,1,0.3333333333333333,2017-05-31,6307394.346,1,1.0,1,0.0,0,1,0,1,Commerce & Advertising,0,1,0,1,0
Security,"Reinvent Baltics OÜ Harju maakond, Tallinn, Kesklinna linnaosa, Roosikrantsi tn 2-K331, 10119 ",2,0,0,23.076923370361328,0,ERC-20,1,0,0,1,0.0,2017-12-31,0.7692307829856873,0,5.244312763214111,1,0,0,117,tokens,1,2017-09-06,No,1,0,0,0,0,0,0,0,117.0,tokens,0,1,0,Betmaster,Gambling & Betting,0,0,0,0,0,1,unknown,Estonia,1.1247367858886719,0,joint-stock corporation,1,0,1,0,1,40.0,0,unknown,tokens,0,1,1,No,1,0,1,0,0,1,6670017.0,0,1,0.0,2017-12-31,0.0,1,1.0,0,0.0,0,1,1,0,Gambling & Betting,1,0,0,1,1
Utility-token,"Turing Technology, Inc., 655 Oak Grove Ave #1, Menlo Park, CA 94025",3,0,0,0.0,0,ERC-20,1,0,0,0,1.0,2017-08-29,0.09879264235496521,1,11.808096885681152,1,0,0,35,USD,1,2017-07-26,Tim Draper,0,0,0,0,0,0,0,0,1.0,USD,0,1,0,Bitbounce,Communications,1,1,0,0,1,1,high,United States,0.5934830904006958,0,joint-stock corporation,1,1,1,1,1,36.0,0,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,USD,0,1,0,No,1,0,0,0,0,1,1374729257.2286,0,1,0.5810871850851455,2017-07-26,10096667.03125,1,1.0,1,0.0,0,1,1,0,Communications,0,1,0,1,0
Cryptocurrency,unknown,1,0,0,0.0,0,ERC-20,1,1,1,0,1.0,2017-12-29,0.07094000279903412,1,25.688491821289062,0,1,1,31,USD,1,2017-11-29,No,1,0,0,0,0,0,0,0,1.0,USD,0,0,1,BitClave,Search,0,1,0,1,0,0,high,Singapore,0.3934798538684845,1,joint-stock corporation,0,1,1,1,1,51.0,0,0x1234567461d3f8db7496581774bd869c83d51c93,USD,1,1,1,No,1,0,1,0,0,0,2000000000.0,0,1,0.5,2017-11-29,0.0,1,1.0,0,0.0,0,1,0,1,Search,1,0,1,1,0
Utility-token,"Veiverių str. 139, Kaunas",1,0,0,13.043478012084961,0,ERC-20,1,1,0,0,1.0,2017-12-29,0.06684491783380508,1,22.5,0,1,1,30,ETH,1,2017-11-30,No,1,0,0,0,0,0,0,0,30.0,ETH,0,1,0,BitDegree,Online-learning,1,0,0,1,0,1,neutral,Lithuania,0.3591870367527008,0,joint-stock corporation,1,0,1,1,1,36.0,0,0x1961b3331969ed52770751fc718ef530838b6dee,ETH,0,1,1,No,1,0,1,0,0,1,660000000.0,0,1,0.49,2017-12-29,376795.0,1,1.0,0,0.0,0,1,0,0,Online-learning,1,1,0,1,0
Security,unknown,1,0,0,13.043478012084961,0,ERC-223,1,1,0,1,1.0,2017-09-15,0.12525297701358795,0,8.699999809265137,1,0,0,32,tokens,1,2017-08-15,No,0,0,0,0,0,0,0,0,32.0,tokens,0,1,0,BitDice,Gambling & Betting,0,1,1,0,0,0,unknown,Costa Rica,-0.13947072625160217,0,joint-stock corporation,1,0,1,0,1,24.0,0,0x29d75277ac7f0335b2165d0895e8725cbf658d73,tokens,0,1,1,No,0,0,0,0,0,1,100000000.0,1,1,0.3,2017-09-15,2000000.0,1,1.0,0,0.0,0,1,1,1,Gambling & Betting,0,0,0,1,1
Utility-token,BITQUENCE PTE. LTD. 101 CECIL STREET #18-12 TONG ENG BUILDING SINGAPORE 069533,0,0,0,72.73999786376953,0,ERC-20,1,0,1,0,1.0,2017-07-16,0.04051710292696953,0,0.0,0,0,0,19,ETH,1,2017-06-28,No,0,0,0,0,0,0,0,0,19.0,ETH,0,0,0,Bitquence,Finance,1,0,0,0,0,1,unknown,Singapore,-0.2883412539958954,1,joint-stock corporation,1,0,1,0,0,24.0,0,0x5af2be193a6abca9c8817001f45744777db30756,ETH,0,1,1,No,0,0,1,0,0,1,222295208.238453,0,0,0.3,2017-07-16,6294400.000000001,1,1.0,0,0.0,0,1,0,0,Finance,1,1,1,1,1
Security,"Harbour Place, 103 South Church Street, P.O. Box 10240, Grand Cayman, KY1-1002, Cayman Islands",3,0,0,9.090909004211426,0,ERC-20,1,0,1,1,1.0,2017-09-13,1.0,0,30.0,1,0,1,2,USD,1,2017-09-12,No,0,1,0,0,0,0,0,0,30.0,USD,0,0,0,Blackmoon Crypto,Finance,0,1,0,0,0,1,high,Cayman Islands,-0.06197105720639229,1,joint-stock corporation,0,1,1,0,0,10.0,0,0xdf6ef343350780bf8c3410bf062e0c015b1dd671,USD,0,1,1,No,1,0,1,0,0,1,60000000.0,0,1,0.5,2017-10-11,0.0,1,1.0,0,0.0,0,1,0,0,Finance,1,0,1,1,0
Utility-token,unknown,1,0,0,23.076923370361328,0,ERC-20,1,1,1,0,1.0,2018-01-08,0.20265106856822968,1,8.428373336791992,0,1,1,18,USD,1,2017-12-22,No,0,0,0,0,0,0,0,0,24.0,USD,0,1,0,Block Array,Data Analytics,1,1,0,0,0,0,high,United States,0.09235609322786331,0,limited liability partnership,0,1,1,0,1,33.0,0,0xa5f8fc0921880cb7342368bd128eb8050442b1a1,USD,0,0,1,No,0,0,1,0,1,0,88409932.9306097,0,1,0.4,2018-01-14,2504681.737,1,1.0,0,0.0,0,1,0,1,Data Analytics,1,1,0,1,0
Utility-token,"Blocktix N.V., Nieuw-Eyckholt 292 E, 6419DJ Heerlen",1,0,0,16.66666603088379,0,ERC-20,1,0,0,0,1.0,2017-07-28,0.2514735162258148,1,6.981328010559082,0,0,1,22,USD,1,2017-07-07,No,0,0,1,0,1,0,0,0,19.0,USD,0,0,0,Blocktix,Events & Entertainment,1,1,0,0,0,1,low,Netherlands,0.10910509526729584,1,joint-stock corporation,1,0,1,0,0,9.0,0,0xea1f346faf023f974eb5adaf088bbcdf02d761f4,USD,0,1,1,No,0,0,1,0,0,1,62500000.0,0,0,0.36,2017-07-25,2500000.0,1,1.0,0,0.0,0,1,0,1,Events & Entertainment,0,1,1,1,1
Utility-token,"Blockv AG, Landsgemeindeplatz 11, 6300 Zug",1,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2017-10-25,0.020999999716877937,1,22.125398635864258,1,1,1,40,USD,1,2017-09-16,No,0,0,0,0,0,0,0,0,40.0,USD,1,0,0,BLOCKv,Blockchain Infrastructure,1,1,1,1,0,1,neutral,Switzerland,0.46147364377975464,0,joint-stock corporation,1,0,1,0,0,27.0,0,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,USD,0,1,1,No,1,0,0,0,0,1,3646271241.0,0,1,0.65,2017-10-25,20000000.0,1,1.0,0,0.0,0,1,0,0,Blockchain Infrastructure,1,0,1,1,0
Utility-token,unknown,1,0,0,0.0,0,ERC-20,1,0,0,0,0.0,2018-01-01,1.1728675365447998,1,40.0,0,1,0,33,USD,1,2017-11-30,Pantera Capital,0,1,0,0,0,0,0,0,33.0,USD,0,1,0,Bloom,Finance,1,1,0,0,1,0,high,Gibraltar,0.2885904312133789,0,joint-stock corporation,0,1,1,0,0,17.0,0,0x107c4504cd79c5d2696ea0030a8dd4e92601b82e,USD,0,1,1,No ,1,1,1,0,0,0,150000000.0,0,1,0.5,2018-01-01,5000000.0,1,1.0,1,0.0,0,1,0,0,Finance,1,1,0,1,0
Utility-token,"16 Raffles Quay, Level 2, Hong Leong Building Singapore, 048581",3,0,0,0.0,0,ERC-20,1,1,1,0,1.0,2018-01-20,0.11999999731779099,1,16.285606384277344,0,1,1,4,USD,1,2018-01-17,Kenetic Capital,1,0,0,0,0,0,0,0,4.0,USD,0,1,0,Bluzelle,Data Analytics,1,1,0,1,1,1,high,Singapore,0.14226989448070526,0,joint-stock corporation,0,1,1,0,0,42.0,0,0x5732046a883704404f284ce41ffadd5b007fd668,USD,0,1,1,Global Brains; True Global Ventures; LUN partners,1,1,1,0,0,1,500000000.0,0,0,0.52,2018-01-20,0.0,1,1.0,1,0.0,0,1,0,0,Data Analytics,1,0,0,1,0
Utility-token,unknown,0,0,0,0.0,0,ERC-20,1,0,1,0,1.0,2017-12-16,0.01767302304506302,1,1.8561564683914185,0,0,1,2,USD,1,2017-12-15,No,0,1,0,0,1,0,0,0,18.0,USD,0,1,0,Bounty0x,Search,1,1,0,0,0,0,neutral,Cayman Islands,0.09632673114538193,1,joint-stock corporation,1,0,1,0,1,25.0,0,0xd2d6158683aee4cc838067727209a0aaf4359de3,USD,0,1,1,No,0,0,1,0,0,1,500000000.0,0,1,0.7803,2018-01-01,1250000.0,1,1.0,0,0.0,0,1,0,0,Search,0,1,0,1,0
Utility-token,unknown,4,0,0,20.0,0,ERC-20,1,0,0,0,1.0,2017-12-24,1.2184181213378906,0,44.0,1,1,1,11,USD,1,2017-12-14,No,1,1,0,0,0,0,0,0,11.0,USD,0,0,0,Bread,Payments,1,1,0,1,1,0,neutral,Cayman Islands,-0.17348843812942505,0,joint-stock corporation,1,0,1,1,1,15.0,0,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,USD,0,1,1,Saison Ventures; OKWave; Liberty City Ventures; Globe Advisors; East Ventures; Das Capital,1,1,1,0,0,1,88894087.0,0,1,0.3333333333333333,2017-12-24,0.0,1,1.0,0,0.0,0,1,0,1,Payments,1,0,1,1,0
Security,"49 Vyborgskaya embankment, Saint Petersburg",0,0,0,13.043478012084961,0,ERC-20,1,1,1,1,1.0,2017-10-31,0.1629130244255066,0,8.681510925292969,1,1,1,33,ETH,1,2017-09-29,No,0,0,0,1,0,0,0,0,31.0,ETH,0,0,0,CarTaxi Token,Marketplaces,0,1,0,0,0,1,medium,Russian Federation,0.4406760036945343,1,joint-stock corporation,1,0,1,0,1,37.0,0,0x662abcad0b7f345ab7ffb1b1fbb9df7894f18e66,ETH,0,1,1,No,1,0,0,0,0,1,71349625.5,0,1,0.3333333333333333,2017-10-29,932322.25,1,1.0,0,0.0,0,1,0,0,Marketplaces,0,0,1,1,0
